epoch,bce,kld,total
1,2187.696629,19.192944,2206.889573
2,1807.365691,25.192359,1832.55805
3,1709.408187,27.283999,1736.692186
4,1678.728377,28.838563,1707.56694
5,1658.769332,30.872037,1689.641369
6,1656.360267,30.901193,1687.261461
7,1645.78441,31.476171,1677.260582
8,1640.027518,30.572755,1670.600273
9,1629.83566,32.027197,1661.862858
10,1609.722664,33.416251,1643.138915
11,1604.349328,33.618907,1637.968235
12,1585.029758,34.926924,1619.956682
13,1576.490034,34.740399,1611.230433
14,1571.034968,34.168082,1605.20305
15,1563.635993,34.397203,1598.033196
16,1555.932975,34.926094,1590.859069
17,1551.463837,35.025897,1586.489734
18,1540.285101,36.043777,1576.328878
19,1538.346603,36.70506,1575.051663
20,1529.018153,37.368491,1566.386644
21,1523.294364,37.843346,1561.137709
22,1516.581729,37.92176,1554.503489
23,1511.645435,38.800797,1550.446232
24,1504.7687,39.472692,1544.241392
25,1502.587398,39.82959,1542.416988
26,1495.17037,40.539963,1535.710333
27,1490.286825,40.698628,1530.985453
28,1486.401629,41.161197,1527.562826
29,1485.80669,41.690804,1527.497493
30,1475.757407,42.544303,1518.30171
31,1472.585141,43.317098,1515.902239
32,1462.790388,44.284194,1507.074582
33,1458.097557,45.191039,1503.288596
34,1452.458953,45.663301,1498.122254
35,1446.766643,46.427588,1493.194231
36,1442.426913,47.275662,1489.702575
37,1436.915005,48.037841,1484.952846
38,1433.134519,48.835807,1481.970326
39,1431.160689,49.174404,1480.335094
40,1422.039559,50.160651,1472.20021
41,1421.723005,50.94564,1472.668646
42,1412.050173,51.989378,1464.039551
43,1405.910068,52.862879,1458.772947
44,1401.65186,53.76871,1455.42057
45,1395.513473,55.206456,1450.719928
46,1385.664003,56.141496,1441.805498
47,1381.466358,56.896419,1438.362777
48,1376.983735,58.163646,1435.147381
49,1367.449249,59.200197,1426.649446
50,1366.32578,59.754622,1426.080402
51,1358.026872,61.230595,1419.257467
52,1348.903405,62.075785,1410.979189
53,1342.351318,62.56404,1404.915358
54,1338.471118,64.177518,1402.648635
55,1332.232077,64.513778,1396.745854
56,1327.458865,65.517642,1392.976506
57,1320.357148,66.463978,1386.821126
58,1312.81592,67.464367,1380.280287
59,1310.26596,68.341748,1378.607708
60,1300.701406,69.125196,1369.826602
61,1298.35568,69.653995,1368.009675
62,1289.556666,70.748784,1360.30545
63,1286.694252,71.243057,1357.937309
64,1279.831413,71.765311,1351.596723
65,1272.421733,72.750251,1345.171983
66,1269.555023,72.970188,1342.52521
67,1263.264622,73.435584,1336.700206
68,1260.382288,74.28399,1334.666279
69,1252.546917,74.521758,1327.068675
70,1248.338043,75.195761,1323.533804
71,1243.215586,75.95158,1319.167166
72,1240.306414,76.069712,1316.376127
73,1232.256053,77.18304,1309.439093
74,1230.003855,77.566071,1307.569925
75,1224.845381,77.359819,1302.2052
76,1219.042069,78.442493,1297.484562
77,1218.179705,78.521096,1296.700801
78,1213.266793,78.731443,1291.998236
79,1210.928312,78.911449,1289.839761
80,1204.275155,79.532993,1283.808148
81,1199.982511,80.06364,1280.046151
82,1195.292533,80.174299,1275.466832
83,1192.840494,80.191978,1273.032472
84,1186.225721,80.563441,1266.789162
85,1187.130916,80.823593,1267.954509
86,1183.342971,81.311293,1264.654265
87,1176.518474,81.341989,1257.860463
88,1174.683254,81.823214,1256.506467
89,1171.64835,81.774566,1253.422916
90,1168.769912,82.024401,1250.794313
91,1167.857533,82.029575,1249.887108
92,1163.213212,82.597716,1245.810928
93,1160.099912,82.493964,1242.593876
94,1154.810993,82.410312,1237.221304
95,1153.580979,83.047683,1236.628662
96,1150.580416,83.356318,1233.936734
97,1152.161064,82.87963,1235.040693
98,1143.824011,83.178428,1227.002439
99,1143.374902,83.388301,1226.763202
100,1142.155784,83.304593,1225.460377
101,1137.38738,83.563582,1220.950963
102,1133.086749,83.40129,1216.488039
103,1132.260766,83.573636,1215.834402
104,1128.600694,83.756491,1212.357185
105,1125.25971,83.842629,1209.102339
106,1122.566101,83.822354,1206.388455
107,1121.897595,83.73855,1205.636144
108,1119.217169,84.136625,1203.353793
109,1119.821696,83.950888,1203.772584
110,1118.533168,83.957674,1202.490842
111,1113.336336,84.028135,1197.364471
112,1110.517988,84.306065,1194.824053
113,1107.721968,83.887122,1191.60909
114,1107.666305,84.123556,1191.789862
115,1104.376399,84.41407,1188.790469
116,1101.7302,84.023389,1185.753589
117,1102.150916,84.424628,1186.575544
118,1098.178867,84.655753,1182.83462
119,1095.558364,84.312832,1179.871196
120,1092.84609,84.359901,1177.205991
121,1093.68396,84.155555,1177.839516
122,1092.814466,84.334071,1177.148537
123,1088.824765,83.951156,1172.775921
124,1089.251096,84.146143,1173.397239
125,1091.913931,84.256564,1176.170495
126,1086.261772,84.231122,1170.492894
127,1082.105174,84.26462,1166.369794
128,1082.613267,84.618089,1167.231357
129,1078.838535,84.54551,1163.384044
130,1076.751566,84.814922,1161.566488
131,1075.572262,84.6106,1160.182862
132,1074.448886,84.464176,1158.913062
133,1073.338846,84.590497,1157.929343
134,1070.64072,84.540568,1155.181288
135,1070.634007,84.248318,1154.882325
136,1068.22254,84.699134,1152.921674
137,1069.798173,84.425131,1154.223304
138,1065.670811,84.470765,1150.141576
139,1064.539996,84.562598,1149.102594
140,1063.770606,84.515544,1148.28615
141,1061.871044,84.503772,1146.374816
142,1060.690495,84.702571,1145.393066
143,1061.630897,84.687318,1146.318215
144,1065.897292,84.752658,1150.64995
145,1060.850974,84.625331,1145.476305
146,1054.822471,84.67488,1139.497351
147,1054.65199,84.824849,1139.476839
148,1053.344136,84.69511,1138.039245
149,1052.641762,84.629771,1137.271533
150,1051.233266,85.012693,1136.245959
151,1049.439866,85.021542,1134.461408
152,1050.647329,85.031916,1135.679245
153,1049.119233,84.692971,1133.812203
154,1047.796463,84.94267,1132.739133
155,1046.338303,84.834256,1131.17256
156,1044.643288,85.028054,1129.671342
157,1044.233293,85.029312,1129.262604
158,1044.821039,85.019151,1129.84019
159,1046.689884,85.009257,1131.699141
160,1042.585542,85.006028,1127.59157
161,1039.903239,84.888229,1124.791468
162,1038.904686,85.079944,1123.984631
163,1040.302996,85.262275,1125.565272
164,1037.478284,84.961845,1122.440129
165,1036.364348,85.055128,1121.419476
166,1034.658128,85.211017,1119.869145
167,1034.633851,84.766722,1119.400572
168,1034.532967,85.475944,1120.008912
169,1033.017737,85.389931,1118.407668
170,1034.216685,84.988083,1119.204768
171,1033.311652,85.102607,1118.414259
172,1031.454215,85.034953,1116.489168
173,1029.807855,85.284722,1115.092577
174,1029.997931,85.189892,1115.187823
175,1029.000687,84.979314,1113.980002
176,1027.250811,85.120828,1112.371639
177,1026.180341,85.291482,1111.471822
178,1025.398808,85.205306,1110.604114
179,1024.996915,85.327883,1110.324798
180,1024.281354,85.015616,1109.29697
181,1022.890353,85.246955,1108.137308
182,1024.164127,85.206427,1109.370554
183,1023.572586,85.250372,1108.822957
184,1023.400104,85.16496,1108.565064
185,1021.45842,85.31521,1106.773631
186,1020.191212,85.553928,1105.74514
187,1019.888955,85.111274,1105.000229
188,1020.325528,85.406345,1105.731873
189,1019.501719,85.322463,1104.824181
190,1021.428906,85.211528,1106.640435
191,1018.368862,85.278871,1103.647733
192,1017.705263,85.138521,1102.843784
193,1015.966133,85.358487,1101.32462
194,1015.306096,85.351463,1100.65756
195,1014.567993,85.021539,1099.589531
196,1014.106385,85.558626,1099.665011
197,1015.144739,85.219101,1100.36384
198,1013.679459,85.366032,1099.045491
199,1016.671564,85.253398,1101.924962
200,1016.113375,85.215746,1101.329122
201,1013.851648,85.241965,1099.093613
202,1010.906648,85.249436,1096.156084
203,1009.544772,85.563683,1095.108455
204,1009.642239,85.069321,1094.711559
205,1009.611934,85.420722,1095.032656
206,1007.967868,85.262356,1093.230224
207,1009.007122,85.197621,1094.204743
208,1007.808461,85.651468,1093.459929
209,1007.561114,85.52288,1093.083994
210,1006.152446,85.337847,1091.490293
211,1005.568586,85.141252,1090.709839
212,1005.138836,85.264184,1090.40302
213,1004.270726,85.165123,1089.435849
214,1004.12219,85.07861,1089.2008
215,1004.242531,85.335588,1089.578119
216,1003.574252,85.283398,1088.85765
217,1002.827843,85.34099,1088.168833
218,1002.903798,85.206126,1088.109924
219,1003.668178,85.416689,1089.084867
220,1003.22046,85.057739,1088.278199
221,1002.959819,85.214199,1088.174017
222,1002.479343,85.401616,1087.880959
223,1002.156738,85.157176,1087.313913
224,1001.026923,85.3286,1086.355523
225,1000.850445,85.411401,1086.261846
226,999.566808,85.075653,1084.642461
227,999.897491,85.115741,1085.013232
228,998.822661,85.371833,1084.194494
229,999.508657,85.568449,1085.077106
230,997.855462,85.272663,1083.128125
231,997.319026,85.185363,1082.504389
232,997.239148,85.500312,1082.73946
233,996.295271,85.323444,1081.618714
234,996.566408,85.243175,1081.809582
235,996.259857,85.174253,1081.43411
236,997.250232,85.507343,1082.757575
237,996.026974,85.300517,1081.327491
238,993.461215,85.156621,1078.617835
239,993.65729,85.155246,1078.812536
240,993.912012,85.438638,1079.35065
241,994.905683,85.502624,1080.408307
242,993.740828,85.199601,1078.940429
243,993.327965,85.270347,1078.598312
244,994.317015,85.129698,1079.446714
245,993.09135,85.452077,1078.543427
246,991.471041,85.417045,1076.888086
247,991.158203,85.036258,1076.194461
248,990.796961,85.432947,1076.229908
249,989.943805,85.260961,1075.204766
250,991.203954,85.124825,1076.328779
251,990.460222,85.168214,1075.628436
252,990.862208,85.150715,1076.012924
253,991.401498,85.189798,1076.591296
254,989.72661,85.384869,1075.111479
255,988.399464,85.409668,1073.809132
256,988.104365,85.2979,1073.402265
257,989.308124,85.347129,1074.655253
258,987.731478,85.261585,1072.993063
259,986.333866,85.343844,1071.67771
260,986.64333,85.175945,1071.819275
261,985.573556,85.380228,1070.953784
262,985.619768,85.322215,1070.941984
263,989.040711,85.132395,1074.173106
264,989.359703,85.439119,1074.798822
265,985.980234,85.190343,1071.170577
266,985.636928,85.121477,1070.758405
267,985.8876,85.383026,1071.270626
268,986.091224,85.449638,1071.540863
269,984.199459,85.494549,1069.694008
270,983.639013,85.440045,1069.079059
271,983.597371,85.542558,1069.139929
272,984.494892,85.220858,1069.71575
273,984.77496,85.337303,1070.112263
274,984.805922,85.425714,1070.231635
275,983.036711,85.463178,1068.499889
276,982.562233,85.336101,1067.898334
277,982.491642,85.366445,1067.858087
278,982.07253,85.266045,1067.338575
279,981.935888,85.400445,1067.336333
280,980.941211,85.329032,1066.270243
281,981.944304,85.087216,1067.031521
282,982.287561,85.266587,1067.554148
283,981.901127,85.361665,1067.262793
284,982.550076,85.624494,1068.17457
285,981.632427,85.194586,1066.827013
286,980.261237,85.196129,1065.457366
287,980.357975,85.504971,1065.862947
288,978.6649,85.37683,1064.04173
289,978.961879,85.361033,1064.322913
290,979.33935,85.498998,1064.838348
291,979.770335,85.326557,1065.096892
292,978.73904,85.276684,1064.015724
293,977.380055,85.588837,1062.968892
294,978.039691,85.563754,1063.603445
295,977.173664,85.377639,1062.551303
296,976.920052,85.380433,1062.300484
297,976.632006,85.30113,1061.933136
298,976.073299,85.384666,1061.457965
299,976.48784,85.448425,1061.936265
300,976.898043,85.452101,1062.350145
301,977.023328,85.628846,1062.652174
302,977.131772,85.584196,1062.715969
303,978.765873,85.53339,1064.299263
304,977.492037,85.4658,1062.957836
305,975.908116,85.565861,1061.473978
306,974.937605,85.314536,1060.252141
307,976.890753,85.280116,1062.170869
308,974.44979,85.363534,1059.813324
309,974.716229,85.584036,1060.300265
310,974.374124,85.499033,1059.873157
311,976.109778,85.46582,1061.575598
312,976.012552,85.385599,1061.398151
313,975.091172,85.504869,1060.596041
314,977.551492,85.396134,1062.947626
315,973.9532,85.568767,1059.521967
316,972.831196,85.405393,1058.23659
317,972.264596,85.396163,1057.660758
318,972.095107,85.324608,1057.419715
319,971.643682,85.273355,1056.917037
320,972.609825,85.233235,1057.84306
321,971.510478,85.506298,1057.016776
322,971.777869,85.267974,1057.045843
323,971.655924,85.339135,1056.995059
324,971.542335,85.489047,1057.031382
325,972.664679,85.478554,1058.143233
326,973.311232,85.2976,1058.608832
327,971.779231,85.503048,1057.28228
328,970.73206,85.407028,1056.139088
329,969.476891,85.52179,1054.998681
330,969.480253,85.39096,1054.871213
331,973.092132,85.200198,1058.29233
332,971.424149,85.430721,1056.85487
333,971.505835,85.411734,1056.91757
334,970.689363,85.517253,1056.206616
335,970.877249,85.301656,1056.178905
336,970.847319,85.398002,1056.245321
337,969.571784,85.432224,1055.004008
338,969.892294,85.513238,1055.405532
339,969.074778,85.312561,1054.387339
340,968.982307,85.374745,1054.357052
341,968.593754,85.340393,1053.934148
342,967.8872,85.41197,1053.29917
343,968.613329,85.317681,1053.93101
344,967.665283,85.228956,1052.894239
345,967.166941,85.616448,1052.783389
346,966.634042,85.614426,1052.248468
347,967.071348,85.245815,1052.317163
348,968.367979,85.416453,1053.784432
349,967.416544,85.264869,1052.681413
350,966.936225,85.328557,1052.264782
351,966.854155,85.167556,1052.021711
352,967.901932,85.38641,1053.288342
353,967.611547,85.410671,1053.022219
354,965.908802,85.397448,1051.30625
355,966.506176,85.410054,1051.91623
356,965.962893,85.475408,1051.4383
357,966.260502,85.30574,1051.566242
358,967.412561,85.486674,1052.899235
359,967.551603,85.616749,1053.168352
360,966.127698,85.342374,1051.470073
361,968.807353,85.231909,1054.039262
362,966.611883,85.382689,1051.994572
363,965.185263,85.458878,1050.64414
364,965.182144,85.343122,1050.525266
365,964.830111,85.465872,1050.295983
366,966.215838,85.397523,1051.613361
367,966.300927,85.215628,1051.516555
368,963.672971,85.423398,1049.09637
369,964.928184,85.151126,1050.07931
370,963.637394,85.200285,1048.837679
371,963.680442,85.456274,1049.136716
372,963.999667,85.310786,1049.310452
373,962.68505,85.367428,1048.052478
374,961.984185,85.227709,1047.211894
375,961.632458,85.453252,1047.08571
376,963.421764,85.485717,1048.907481
377,963.471395,85.396536,1048.867931
378,963.066901,85.203999,1048.2709
379,962.677098,85.396056,1048.073154
380,962.310613,85.516018,1047.826631
381,962.045938,85.404733,1047.45067
382,963.067429,85.354178,1048.421608
383,962.986665,85.390832,1048.377497
384,962.136232,85.486071,1047.622303
385,962.543243,85.454493,1047.997736
386,961.90234,85.337662,1047.240002
387,961.399425,85.328847,1046.728272
388,961.13308,85.582237,1046.715317
389,961.549694,85.519246,1047.068939
390,961.207569,85.547607,1046.755176
391,961.586243,85.34599,1046.932233
392,960.912647,85.364436,1046.277083
393,963.008204,85.437129,1048.445333
394,962.137876,85.35257,1047.490447
395,962.687632,85.258832,1047.946465
396,961.380514,84.883531,1046.264045
397,960.335306,85.478334,1045.813641
398,960.071817,85.462855,1045.534672
399,960.476127,85.472013,1045.94814
400,960.340593,85.489531,1045.830124
401,959.507733,85.544062,1045.051795
402,959.398835,85.164636,1044.563471
403,960.302903,85.615212,1045.918115
404,959.997991,85.450144,1045.448136
405,959.533396,85.396082,1044.929478
406,959.103262,85.286781,1044.390044
407,958.937458,85.468126,1044.405584
408,959.856752,85.316036,1045.172787
409,958.923718,85.656591,1044.58031
410,959.934585,85.295899,1045.230484
411,961.070629,85.512695,1046.583324
412,960.258329,85.286345,1045.544673
413,959.305432,85.024963,1044.330395
414,963.942194,85.30219,1049.244384
415,959.650436,85.074002,1044.724438
416,957.550207,85.40907,1042.959276
417,957.895094,85.512384,1043.407478
418,957.674435,85.398967,1043.073403
419,957.321469,85.387072,1042.708541
420,956.257165,85.403513,1041.660678
421,956.401808,85.230133,1041.631941
422,957.409172,85.464877,1042.87405
423,957.166162,85.548093,1042.714255
424,956.873436,85.496279,1042.369715
425,956.710866,85.39449,1042.105356
426,956.112447,85.308004,1041.420451
427,955.31073,85.504412,1040.815143
428,955.888746,85.588106,1041.476852
429,956.741792,85.333594,1042.075387
430,959.211511,85.389875,1044.601386
431,956.995989,85.584815,1042.580804
432,956.147203,85.389375,1041.536578
433,956.996172,85.590714,1042.586886
434,956.194514,85.341632,1041.536146
435,956.627413,85.367532,1041.994945
436,955.902426,85.515985,1041.418411
437,955.330407,85.497179,1040.827586
438,954.662332,85.464431,1040.126763
439,954.608381,85.515796,1040.124177
440,954.768948,85.496513,1040.265461
441,955.053874,85.566643,1040.620517
442,955.144599,85.54541,1040.69001
443,955.4148,85.572864,1040.987664
444,955.207284,85.613279,1040.820563
445,955.71198,85.714042,1041.426022
446,957.11963,85.465811,1042.585441
447,956.519742,85.616168,1042.135911
448,954.954444,85.680233,1040.634677
449,954.100493,85.258597,1039.359089
450,954.234109,85.556891,1039.791001
451,956.376094,85.49594,1041.872034
452,954.135161,85.731622,1039.866783
453,954.946394,85.325921,1040.272315
454,953.737605,85.452458,1039.190063
455,954.666988,85.545181,1040.212168
456,954.58157,85.511848,1040.093418
457,953.521207,85.69402,1039.215227
458,953.899981,85.207305,1039.107286
459,954.504843,85.322542,1039.827385
460,952.936225,85.735644,1038.671869
461,953.470011,85.621033,1039.091044
462,953.218935,85.430035,1038.648971
463,953.706657,85.65117,1039.357827
464,953.342489,85.472571,1038.815061
465,952.794644,85.492655,1038.287299
466,951.810059,85.336812,1037.146871
467,952.452509,85.533254,1037.985762
468,952.829119,85.446655,1038.275775
469,952.511796,85.602752,1038.114547
470,953.090369,85.43377,1038.52414
471,952.636418,85.561244,1038.197662
472,952.853105,85.628091,1038.481196
473,952.348956,85.656182,1038.005138
474,952.145609,85.577772,1037.723381
475,951.305331,85.44937,1036.754701
476,951.982847,85.792934,1037.77578
477,951.954551,85.652435,1037.606986
478,951.99893,85.535768,1037.534699
479,951.119745,85.309398,1036.429143
480,951.174606,85.472816,1036.647422
481,952.219715,85.667488,1037.887203
482,951.760782,85.531335,1037.292117
483,951.669417,85.42766,1037.097076
484,950.980913,85.53094,1036.511853
485,951.01608,85.491282,1036.507362
486,952.06209,85.551468,1037.613558
487,951.811982,85.542763,1037.354745
488,951.840299,85.581858,1037.422156
489,950.829026,85.423935,1036.252961
490,950.829756,85.379495,1036.209251
491,950.329061,85.543484,1035.872545
492,950.251808,85.49786,1035.749668
493,950.016213,85.449038,1035.465252
494,949.58923,85.92866,1035.51789
495,949.794035,85.554662,1035.348697
496,950.363538,85.471135,1035.834674
497,950.256283,85.486374,1035.742658
498,950.609221,85.430488,1036.039709
